PC1,PC2,action
1.164273,0.07421327,0
1.1641326,0.07499406,0
1.1639191,0.075721264,0
1.1636982,0.076376796,0
1.1620592,0.076737225,0
1.162033,0.076836824,0
1.1620436,0.07687324,0
1.1620436,0.07687122,0
1.1620436,0.07685658,0
1.1620436,0.07684767,0
1.1620436,0.0768466,0
1.1620436,0.076848835,0
1.1620436,0.07685062,0
1.1620436,0.07685107,0
1.1620436,0.07685077,0
1.1620436,0.076850414,0
1.1620436,0.076850295,0
1.1620436,0.076850355,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
1.1620436,0.076850414,0
-0.43791616,0.38228762,1
-0.44110018,0.38737935,1
-0.44435456,0.39198488,1
-0.44750163,0.39600992,1
-0.4505723,0.39933145,1
-0.45357078,0.4021514,1
-0.45650893,0.4044009,1
-0.459296,0.40615076,1
-0.4620634,0.4072069,1
-0.46477672,0.40778393,0
-0.46733123,0.4073702,0
-0.4697546,0.40660024,0
-0.47204673,0.40547395,0
-0.47420767,0.40399164,0
-0.47623748,0.40215325,3
-0.47807118,0.39962554,0
-0.47978395,0.39731234,0
-0.48136532,0.3946427,0
-0.48281538,0.39161658,3
-0.4839367,0.38780117,0
-0.48506236,0.38437515,0
-0.48605645,0.3805923,2
-0.48252544,0.37669873,0
-0.48350123,0.3729232,2
-0.47979924,0.36745095,3
-0.48078096,0.3633067,2
-0.47852775,0.3581215,2
-0.47457457,0.3540883,3
-0.47537136,0.35010368,2
-0.47197402,0.345779,2
-0.4706557,0.3419838,2
-0.46833208,0.33865684,2
-0.46392387,0.33480716,3
-0.46491116,0.33163804,2
-0.46285865,0.328987,2
-0.46018046,0.32737708,2
-0.4576746,0.3257267,1
-0.45898432,0.32386798,3
-0.4598544,0.3206209,2
-0.45856565,0.3177877,2
-0.45400572,0.31436753,2
-0.44927514,0.31011075,3
-0.4504168,0.307626,2
-0.44728678,0.3059581,0
-0.44846523,0.30392343,2
-0.4438606,0.30036187,0
-0.44510376,0.2984094,2
-0.44124472,0.2960586,3
-0.44230616,0.29383183,2
-0.44027603,0.2900992,1
-0.44155115,0.2884791,2
-0.43803996,0.28412515,3
-0.43911403,0.28138506,2
-0.434164,0.27839255,0
-0.43539464,0.27643657,2
-0.4306571,0.27249712,0
-0.4319647,0.27062374,0
-0.43314072,0.26839298,2
-0.4319437,0.26723123,2
-0.42843908,0.26539183,2
-0.42498854,0.26327032,3
-0.42612958,0.2611673,2
-0.4239633,0.25789815,2
-0.4204925,0.25537235,1
-0.42189896,0.2542597,3
-0.42293423,0.25177312,2
-0.41975695,0.24944699,2
-0.4146554,0.24661285,1
-0.416162,0.24568355,0
-0.41743267,0.24381018,2
-0.4130667,0.23991317,0
-0.41439247,0.23808059,2
-0.41113478,0.23644254,0
-0.4124445,0.23464033,2
-0.4116935,0.23372623,2
-0.40915227,0.23172396,2
-0.40427878,0.2292163,0
-0.4057149,0.22790104,0
-0.40701947,0.2262285,2
-0.40508687,0.22452244,2
-0.4029492,0.22118345,0
-0.4042259,0.21939099,2
-0.40246248,0.21651801,2
-0.39771277,0.2124492,0
-0.39910144,0.21081328,2
-0.39537513,0.20727393,3
-0.3966505,0.2052283,2
-0.39469087,0.20394152,1
-0.39611298,0.20276669,2
-0.39348355,0.19867241,0
-0.3947602,0.1966196,2
-0.39056742,0.19483158,0
-0.3918733,0.19297239,2
-0.3880199,0.19071424,0
-0.38934106,0.1889531,2
-0.3858332,0.18491656,0
-0.38716096,0.18306851,2
-0.3860479,0.18042201,2
-0.38451487,0.17719075,2
-0.3832454,0.17344546,2
-0.37996972,0.16970912,3
-0.38126895,0.16741776,2
-0.37827593,0.16441998,2
-0.37527478,0.16083422,1
-0.37678224,0.15957952,3
-0.3780278,0.15700606,2
-0.3762133,0.15429866,2
-0.37129435,0.1523914,1
-0.37275663,0.15103427,3
-0.37391663,0.14841715,2
-0.37100154,0.1468136,2
-0.36668736,0.14263743,1
-0.36819458,0.1414159,3
-0.36941302,0.13896301,2
-0.3648032,0.13433167,2
-0.3606083,0.13232419,1
-0.36217266,0.13119662,3
-0.36344695,0.1289843,2
-0.36045963,0.12585369,2
-0.35881436,0.12230861,2
-0.35425267,0.11855826,0
-0.35582328,0.11724189,0
-0.35726234,0.11556819,2
-0.3546561,0.1135585,2
