vel_x_space,angular_vel,action
5.9595959595959584,-8.98989898989899,[1]
6.161616161616163,-8.98989898989899,[1]
6.363636363636363,-8.98989898989899,[1]
6.565656565656564,-8.98989898989899,[1]
6.767676767676768,-8.98989898989899,[1]
6.969696969696969,-8.98989898989899,[1]
7.171717171717173,-8.98989898989899,[1]
7.373737373737374,-8.98989898989899,[1]
7.575757575757574,-8.98989898989899,[1]
7.777777777777779,-8.98989898989899,[1]
7.979797979797979,-8.98989898989899,[1]
8.18181818181818,-8.98989898989899,[1]
8.383838383838384,-8.98989898989899,[1]
8.585858585858585,-8.98989898989899,[1]
8.787878787878789,-8.98989898989899,[1]
8.98989898989899,-8.98989898989899,[1]
9.19191919191919,-8.98989898989899,[1]
9.393939393939394,-8.98989898989899,[1]
9.595959595959595,-8.98989898989899,[1]
9.7979797979798,-8.98989898989899,[1]
10.0,-8.98989898989899,[1]
-10.0,-8.787878787878787,[3]
-9.797979797979798,-8.787878787878787,[3]
-9.595959595959595,-8.787878787878787,[0]
-9.393939393939394,-8.787878787878787,[0]
-9.191919191919192,-8.787878787878787,[0]
-8.98989898989899,-8.787878787878787,[0]
-8.787878787878787,-8.787878787878787,[0]
-8.585858585858587,-8.787878787878787,[0]
-8.383838383838384,-8.787878787878787,[0]
-8.181818181818182,-8.787878787878787,[0]
-7.979797979797979,-8.787878787878787,[0]
-7.777777777777778,-8.787878787878787,[0]
-7.575757575757576,-8.787878787878787,[0]
-7.373737373737374,-8.787878787878787,[0]
-7.171717171717171,-8.787878787878787,[0]
-6.96969696969697,-8.787878787878787,[0]
-6.767676767676768,-8.787878787878787,[0]
-6.565656565656566,-8.787878787878787,[0]
-6.363636363636363,-8.787878787878787,[0]
-6.161616161616162,-8.787878787878787,[2]
-5.959595959595959,-8.787878787878787,[2]
-5.757575757575758,-8.787878787878787,[2]
-5.555555555555555,-8.787878787878787,[2]
-5.353535353535354,-8.787878787878787,[2]
-5.151515151515151,-8.787878787878787,[2]
-4.94949494949495,-8.787878787878787,[2]
-4.747474747474747,-8.787878787878787,[2]
-4.545454545454546,-8.787878787878787,[2]
-4.343434343434343,-8.787878787878787,[2]
-4.141414141414142,-8.787878787878787,[2]
-3.9393939393939394,-8.787878787878787,[2]
-3.737373737373738,-8.787878787878787,[1]
-3.5353535353535355,-8.787878787878787,[1]
-3.333333333333333,-8.787878787878787,[1]
-3.1313131313131315,-8.787878787878787,[1]
-2.929292929292929,-8.787878787878787,[1]
-2.7272727272727275,-8.787878787878787,[1]
-2.525252525252525,-8.787878787878787,[1]
-2.3232323232323235,-8.787878787878787,[1]
-2.121212121212121,-8.787878787878787,[1]
-1.9191919191919187,-8.787878787878787,[1]
-1.717171717171718,-8.787878787878787,[1]
-1.5151515151515156,-8.787878787878787,[1]
-1.3131313131313131,-8.787878787878787,[1]
-1.1111111111111107,-8.787878787878787,[1]
-0.9090909090909101,-8.787878787878787,[1]
-0.7070707070707076,-8.787878787878787,[1]
-0.5050505050505052,-8.787878787878787,[1]
-0.30303030303030276,-8.787878787878787,[1]
-0.10101010101010033,-8.787878787878787,[1]
0.10101010101010033,-8.787878787878787,[1]
0.30303030303030276,-8.787878787878787,[1]
0.5050505050505052,-8.787878787878787,[1]
0.7070707070707076,-8.787878787878787,[1]
0.9090909090909083,-8.787878787878787,[1]
1.1111111111111107,-8.787878787878787,[1]
