vel_y_space,angle,action
-3.9393939393939394,-5.521424242424243,[2]
-3.737373737373738,-5.521424242424243,[2]
-3.5353535353535355,-5.521424242424243,[2]
-3.333333333333333,-5.521424242424243,[2]
-3.1313131313131315,-5.521424242424243,[2]
-2.929292929292929,-5.521424242424243,[2]
-2.7272727272727275,-5.521424242424243,[2]
-2.525252525252525,-5.521424242424243,[2]
-2.3232323232323235,-5.521424242424243,[2]
-2.121212121212121,-5.521424242424243,[2]
-1.9191919191919187,-5.521424242424243,[2]
-1.717171717171718,-5.521424242424243,[2]
-1.5151515151515156,-5.521424242424243,[2]
-1.3131313131313131,-5.521424242424243,[1]
-1.1111111111111107,-5.521424242424243,[1]
-0.9090909090909101,-5.521424242424243,[1]
-0.7070707070707076,-5.521424242424243,[1]
-0.5050505050505052,-5.521424242424243,[1]
-0.30303030303030276,-5.521424242424243,[1]
-0.10101010101010033,-5.521424242424243,[1]
0.10101010101010033,-5.521424242424243,[1]
0.30303030303030276,-5.521424242424243,[1]
