x_space,angular_vel,action
-1.9444444444444444,-9.191919191919192,[1]
-1.893939393939394,-9.191919191919192,[1]
-1.8434343434343434,-9.191919191919192,[1]
-1.7929292929292928,-9.191919191919192,[1]
-1.7424242424242424,-9.191919191919192,[1]
-1.691919191919192,-9.191919191919192,[1]
-1.6414141414141414,-9.191919191919192,[1]
-1.5909090909090908,-9.191919191919192,[1]
-1.5404040404040404,-9.191919191919192,[1]
-1.4898989898989898,-9.191919191919192,[1]
-1.4393939393939394,-9.191919191919192,[1]
-1.3888888888888888,-9.191919191919192,[1]
-1.3383838383838385,-9.191919191919192,[1]
-1.2878787878787878,-9.191919191919192,[1]
-1.2373737373737375,-9.191919191919192,[1]
-1.1868686868686869,-9.191919191919192,[1]
-1.1363636363636365,-9.191919191919192,[1]
-1.0858585858585859,-9.191919191919192,[1]
-1.0353535353535355,-9.191919191919192,[1]
-0.9848484848484849,-9.191919191919192,[1]
-0.9343434343434345,-9.191919191919192,[1]
-0.8838383838383839,-9.191919191919192,[1]
-0.8333333333333333,-9.191919191919192,[1]
-0.7828282828282829,-9.191919191919192,[1]
-0.7323232323232323,-9.191919191919192,[1]
-0.6818181818181819,-9.191919191919192,[1]
-0.6313131313131313,-9.191919191919192,[1]
-0.5808080808080809,-9.191919191919192,[1]
-0.5303030303030303,-9.191919191919192,[1]
-0.47979797979797967,-9.191919191919192,[1]
-0.4292929292929295,-9.191919191919192,[1]
-0.3787878787878789,-9.191919191919192,[1]
-0.3282828282828283,-9.191919191919192,[1]
-0.2777777777777777,-9.191919191919192,[1]
-0.22727272727272751,-9.191919191919192,[1]
-0.1767676767676769,-9.191919191919192,[1]
-0.1262626262626263,-9.191919191919192,[1]
-0.07575757575757569,-9.191919191919192,[1]
-0.025252525252525082,-9.191919191919192,[1]
0.025252525252525082,-9.191919191919192,[1]
0.07575757575757569,-9.191919191919192,[1]
0.1262626262626263,-9.191919191919192,[1]
0.1767676767676769,-9.191919191919192,[1]
0.22727272727272707,-9.191919191919192,[1]
0.2777777777777777,-9.191919191919192,[1]
0.3282828282828283,-9.191919191919192,[1]
0.3787878787878789,-9.191919191919192,[1]
0.42929292929292906,-9.191919191919192,[1]
0.47979797979797967,-9.191919191919192,[1]
0.5303030303030303,-9.191919191919192,[1]
0.5808080808080809,-9.191919191919192,[1]
0.631313131313131,-9.191919191919192,[1]
0.6818181818181817,-9.191919191919192,[1]
0.7323232323232323,-9.191919191919192,[1]
0.7828282828282829,-9.191919191919192,[1]
0.8333333333333335,-9.191919191919192,[1]
0.8838383838383836,-9.191919191919192,[1]
0.9343434343434343,-9.191919191919192,[1]
0.9848484848484849,-9.191919191919192,[1]
1.0353535353535355,-9.191919191919192,[1]
1.0858585858585856,-9.191919191919192,[1]
1.1363636363636362,-9.191919191919192,[1]
1.1868686868686869,-9.191919191919192,[1]
1.2373737373737375,-9.191919191919192,[1]
1.2878787878787876,-9.191919191919192,[1]
1.3383838383838382,-9.191919191919192,[2]
1.3888888888888888,-9.191919191919192,[2]
1.4393939393939394,-9.191919191919192,[2]
1.4898989898989896,-9.191919191919192,[2]
1.5404040404040407,-9.191919191919192,[2]
1.5909090909090908,-9.191919191919192,[2]
1.641414141414141,-9.191919191919192,[2]
1.691919191919192,-9.191919191919192,[2]
1.7424242424242422,-9.191919191919192,[2]
1.7929292929292933,-9.191919191919192,[2]
1.8434343434343434,-9.191919191919192,[2]
1.8939393939393936,-9.191919191919192,[2]
1.9444444444444446,-9.191919191919192,[2]
1.9949494949494948,-9.191919191919192,[2]
2.045454545454545,-9.191919191919192,[2]
2.095959595959596,-9.191919191919192,[2]
2.146464646464646,-9.191919191919192,[2]
2.1969696969696972,-9.191919191919192,[2]
2.2474747474747474,-9.191919191919192,[2]
2.2979797979797976,-9.191919191919192,[2]
2.3484848484848486,-9.191919191919192,[2]
2.398989898989899,-9.191919191919192,[2]
2.44949494949495,-9.191919191919192,[2]
2.5,-9.191919191919192,[2]
-2.5,-8.98989898989899,[1]
-2.4494949494949494,-8.98989898989899,[1]
-2.398989898989899,-8.98989898989899,[1]
-2.3484848484848486,-8.98989898989899,[1]
-2.297979797979798,-8.98989898989899,[1]
-2.2474747474747474,-8.98989898989899,[1]
-2.196969696969697,-8.98989898989899,[1]
-2.1464646464646466,-8.98989898989899,[1]
-2.095959595959596,-8.98989898989899,[1]
-2.0454545454545454,-8.98989898989899,[1]
-1.9949494949494948,-8.98989898989899,[1]
-1.9444444444444444,-8.98989898989899,[1]
-1.893939393939394,-8.98989898989899,[1]
-1.8434343434343434,-8.98989898989899,[1]
-1.7929292929292928,-8.98989898989899,[1]
-1.7424242424242424,-8.98989898989899,[1]
-1.691919191919192,-8.98989898989899,[1]
-1.6414141414141414,-8.98989898989899,[1]
-1.5909090909090908,-8.98989898989899,[1]
-1.5404040404040404,-8.98989898989899,[1]
-1.4898989898989898,-8.98989898989899,[1]
-1.4393939393939394,-8.98989898989899,[1]
-1.3888888888888888,-8.98989898989899,[1]
-1.3383838383838385,-8.98989898989899,[1]
-1.2878787878787878,-8.98989898989899,[1]
-1.2373737373737375,-8.98989898989899,[1]
-1.1868686868686869,-8.98989898989899,[1]
-1.1363636363636365,-8.98989898989899,[1]
-1.0858585858585859,-8.98989898989899,[1]
-1.0353535353535355,-8.98989898989899,[1]
-0.9848484848484849,-8.98989898989899,[1]
-0.9343434343434345,-8.98989898989899,[1]
-0.8838383838383839,-8.98989898989899,[1]
-0.8333333333333333,-8.98989898989899,[1]
-0.7828282828282829,-8.98989898989899,[1]
-0.7323232323232323,-8.98989898989899,[1]
-0.6818181818181819,-8.98989898989899,[1]
-0.6313131313131313,-8.98989898989899,[1]
-0.5808080808080809,-8.98989898989899,[1]
-0.5303030303030303,-8.98989898989899,[1]
-0.47979797979797967,-8.98989898989899,[1]
-0.4292929292929295,-8.98989898989899,[1]
-0.3787878787878789,-8.98989898989899,[1]
-0.3282828282828283,-8.98989898989899,[1]
-0.2777777777777777,-8.98989898989899,[1]
-0.22727272727272751,-8.98989898989899,[1]
-0.1767676767676769,-8.98989898989899,[1]
-0.1262626262626263,-8.98989898989899,[1]
-0.07575757575757569,-8.98989898989899,[1]
-0.025252525252525082,-8.98989898989899,[1]
0.025252525252525082,-8.98989898989899,[1]
0.07575757575757569,-8.98989898989899,[1]
0.1262626262626263,-8.98989898989899,[1]
0.1767676767676769,-8.98989898989899,[1]
0.22727272727272707,-8.98989898989899,[1]
0.2777777777777777,-8.98989898989899,[1]
0.3282828282828283,-8.98989898989899,[1]
0.3787878787878789,-8.98989898989899,[1]
0.42929292929292906,-8.98989898989899,[1]
0.47979797979797967,-8.98989898989899,[1]
0.5303030303030303,-8.98989898989899,[1]
0.5808080808080809,-8.98989898989899,[1]
0.631313131313131,-8.98989898989899,[1]
0.6818181818181817,-8.98989898989899,[1]
0.7323232323232323,-8.98989898989899,[1]
0.7828282828282829,-8.98989898989899,[1]
0.8333333333333335,-8.98989898989899,[1]
0.8838383838383836,-8.98989898989899,[1]
0.9343434343434343,-8.98989898989899,[1]
0.9848484848484849,-8.98989898989899,[1]
1.0353535353535355,-8.98989898989899,[1]
1.0858585858585856,-8.98989898989899,[1]
1.1363636363636362,-8.98989898989899,[1]
1.1868686868686869,-8.98989898989899,[1]
1.2373737373737375,-8.98989898989899,[1]
1.2878787878787876,-8.98989898989899,[1]
1.3383838383838382,-8.98989898989899,[2]
1.3888888888888888,-8.98989898989899,[2]
1.4393939393939394,-8.98989898989899,[2]
1.4898989898989896,-8.98989898989899,[2]
1.5404040404040407,-8.98989898989899,[2]
1.5909090909090908,-8.98989898989899,[2]
1.641414141414141,-8.98989898989899,[2]
1.691919191919192,-8.98989898989899,[2]
1.7424242424242422,-8.98989898989899,[2]
1.7929292929292933,-8.98989898989899,[2]
1.8434343434343434,-8.98989898989899,[2]
1.8939393939393936,-8.98989898989899,[2]
1.9444444444444446,-8.98989898989899,[2]
1.9949494949494948,-8.98989898989899,[2]
2.045454545454545,-8.98989898989899,[2]
2.095959595959596,-8.98989898989899,[2]
2.146464646464646,-8.98989898989899,[2]
2.1969696969696972,-8.98989898989899,[2]
2.2474747474747474,-8.98989898989899,[2]
2.2979797979797976,-8.98989898989899,[2]
2.3484848484848486,-8.98989898989899,[2]
2.398989898989899,-8.98989898989899,[2]
2.44949494949495,-8.98989898989899,[2]
2.5,-8.98989898989899,[2]
-2.5,-8.787878787878787,[1]
-2.4494949494949494,-8.787878787878787,[1]
-2.398989898989899,-8.787878787878787,[1]
-2.3484848484848486,-8.787878787878787,[1]
-2.297979797979798,-8.787878787878787,[1]
-2.2474747474747474,-8.787878787878787,[1]
-2.196969696969697,-8.787878787878787,[1]
-2.1464646464646466,-8.787878787878787,[1]
-2.095959595959596,-8.787878787878787,[1]
-2.0454545454545454,-8.787878787878787,[1]
-1.9949494949494948,-8.787878787878787,[1]
-1.9444444444444444,-8.787878787878787,[1]
-1.893939393939394,-8.787878787878787,[1]
-1.8434343434343434,-8.787878787878787,[1]
-1.7929292929292928,-8.787878787878787,[1]
-1.7424242424242424,-8.787878787878787,[1]
-1.691919191919192,-8.787878787878787,[1]
-1.6414141414141414,-8.787878787878787,[1]
-1.5909090909090908,-8.787878787878787,[1]
-1.5404040404040404,-8.787878787878787,[1]
-1.4898989898989898,-8.787878787878787,[1]
-1.4393939393939394,-8.787878787878787,[1]
-1.3888888888888888,-8.787878787878787,[1]
-1.3383838383838385,-8.787878787878787,[1]
-1.2878787878787878,-8.787878787878787,[1]
-1.2373737373737375,-8.787878787878787,[1]
-1.1868686868686869,-8.787878787878787,[1]
-1.1363636363636365,-8.787878787878787,[1]
-1.0858585858585859,-8.787878787878787,[1]
-1.0353535353535355,-8.787878787878787,[1]
-0.9848484848484849,-8.787878787878787,[1]
-0.9343434343434345,-8.787878787878787,[1]
-0.8838383838383839,-8.787878787878787,[1]
-0.8333333333333333,-8.787878787878787,[1]
-0.7828282828282829,-8.787878787878787,[1]
-0.7323232323232323,-8.787878787878787,[1]
-0.6818181818181819,-8.787878787878787,[1]
-0.6313131313131313,-8.787878787878787,[1]
-0.5808080808080809,-8.787878787878787,[1]
-0.5303030303030303,-8.787878787878787,[1]
-0.47979797979797967,-8.787878787878787,[1]
-0.4292929292929295,-8.787878787878787,[1]
-0.3787878787878789,-8.787878787878787,[1]
