PC1,PC2,action
-0.23757145,-0.22600205,2
-0.23183829,-0.23146367,0
-0.23321763,-0.23683587,2
-0.22728144,-0.24204285,0
-0.22866622,-0.24735308,2
-0.22052571,-0.2529298,0
-0.22199315,-0.25806937,0
-0.223321,-0.26356643,2
-0.21540926,-0.26939195,0
-0.2168078,-0.27475584,2
-0.21123882,-0.28014383,0
-0.21262631,-0.2855152,2
-0.20504989,-0.2912842,2
-0.19778673,-0.29633957,0
-0.19943202,-0.30111462,2
-0.19573307,-0.30583853,2
-0.18830664,-0.31071332,0
-0.19008678,-0.31513834,2
-0.1877794,-0.3199785,2
-0.1824379,-0.3246792,2
-0.17759615,-0.32924628,2
-0.17542233,-0.33345044,2
-0.17252249,-0.33737493,2
-0.16749072,-0.34114742,0
-0.1695878,-0.3448392,2
-0.16565901,-0.34849927,2
-0.16406484,-0.35226965,2
-0.16150583,-0.35554695,2
-0.15999837,-0.35881507,2
-0.15463266,-0.36238664,2
-0.14989349,-0.36547133,0
-0.15227506,-0.36835483,2
-0.14824304,-0.3717979,2
-0.14566979,-0.37493774,2
-0.14254867,-0.37754795,2
-0.14110412,-0.38028994,2
-0.13748887,-0.38249317,2
-0.13148528,-0.3850409,0
-0.13425389,-0.38701743,2
-0.12997161,-0.38913053,0
-0.13273081,-0.39112195,2
-0.13193582,-0.39305198,2
-0.12791549,-0.39523265,2
-0.12286551,-0.3967779,0
-0.12577036,-0.3982965,2
-0.122514956,-0.40046495,0
-0.12536688,-0.40219557,2
-0.12284604,-0.40410712,2
-0.117471285,-0.4060121,0
-0.12042278,-0.4075071,2
-0.11840371,-0.40911362,2
-0.11667054,-0.41085094,2
-0.11063247,-0.4123522,0
-0.11373848,-0.41346037,2
-0.112660915,-0.4147603,2
-0.10739095,-0.4159218,0
-0.11055907,-0.41684178,2
0.5435842,-0.16041902,3
0.54290867,-0.16135734,3
0.539681,-0.16421591,3
1.1889158,0.09208111,0
1.1924163,0.08992456,0
1.1953552,0.08818303,0
1.1981684,0.08691128,0
1.2008653,0.08609573,0
1.2034289,0.08573216,0
1.205264,0.08590391,0
1.20604,0.086668454,0
1.2058331,0.0876956,0
1.204875,0.088759825,0
1.2035618,0.08970573,0
1.2022719,0.090368494,0
1.2012854,0.09079614,0
1.1996912,0.091136955,0
1.199678,0.09101139,0
1.1996913,0.09087174,0
1.1996943,0.09078079,0
1.1996949,0.09076815,0
1.1996943,0.09079109,0
1.1996938,0.09081005,0
1.1996936,0.09081488,0
1.1996936,0.09081191,0
1.1996937,0.0908084,0
1.1996938,0.0908071,0
1.1996938,0.09080743,0
1.1996937,0.09080798,0
1.1996937,0.09080831,0
1.1996937,0.09080833,0
1.1996937,0.090808235,0
1.1996937,0.09080817,0
1.1996937,0.09080817,0
1.1996937,0.09080817,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
1.1996937,0.0908082,0
-0.4309038,0.42219502,0
-0.43405282,0.42134923,0
-0.4372015,0.4201573,0
-0.44021153,0.4186081,0
-0.44308165,0.41670164,0
-0.445812,0.41443735,0
-0.4484028,0.41181567,0
-0.45085397,0.40883657,0
-0.45316562,0.40549996,0
-0.45533752,0.40180603,0
-0.45736986,0.3977545,0
-0.45926255,0.39334536,0
-0.4610156,0.38857898,0
-0.4626292,0.38345498,0
-0.4641031,0.37797356,0
-0.46543744,0.37213466,0
-0.46663207,0.36593807,0
-0.46768716,0.35938427,0
-0.46860257,0.3524728,0
-0.46937838,0.34520397,0
-0.47001463,0.33757773,0
-0.47051126,0.32959375,0
-0.47086823,0.32125252,2
-0.46711138,0.31303665,2
-0.46346456,0.30485094,2
-0.46027905,0.29621673,2
-0.4544493,0.28789094,2
-0.4480522,0.27978584,0
-0.4485179,0.27179196,2
-0.44551164,0.2637414,2
-0.44054493,0.25542971,2
-0.43289948,0.24739563,0
-0.43345457,0.23962116,2
-0.42956948,0.23132445,2
-0.4256089,0.22328363,2
-0.42126688,0.21552077,2
-0.4131267,0.207796,0
-0.4138422,0.20037507,2
-0.40515682,0.19287144,0
-0.4059534,0.18565352,3
-0.40659827,0.17755112,0
-0.4071177,0.16975014,2
-0.40278563,0.16190094,2
-0.39499974,0.15411212,0
-0.39560604,0.14655511,2
-0.3887626,0.13904926,2
-0.38364914,0.13132998,0
-0.38434088,0.12395464,2
-0.3813993,0.116315484,2
-0.3767179,0.10838523,2
-0.36938852,0.10105158,0
-0.370166,0.09385003,2
-0.36180532,0.08683891,0
-0.36265922,0.07988531,2
-0.35556778,0.072440304,0
-0.3564401,0.065471075,2
-0.3532638,0.058379762,2
-0.35043028,0.051037267,2
-0.34664026,0.044008646,2
-0.3438081,0.036844894,2
-0.33593255,0.029603371,0
-0.3369084,0.022854919,2
-0.33336094,0.016059456,2
-0.327656,0.009059998,1
-0.328578,0.002840101,2
-0.32106945,-0.0039466457,2
-0.31625342,-0.0107743,2
-0.31060567,-0.01748358,0
-0.31183928,-0.023773665,2
-0.30764315,-0.02988379,2
-0.30095682,-0.036346357,0
-0.30228513,-0.042376205,2
-0.29820162,-0.04834897,0
-0.29946068,-0.054509092,2
-0.29128274,-0.06080433,0
-0.29262376,-0.06676429,2
-0.2890745,-0.07323221,3
-0.2903337,-0.07989296,2
-0.28339002,-0.08640628,0
-0.28466213,-0.09254301,2
-0.27977568,-0.09864405,0
-0.28100675,-0.10484962,2
-0.2757743,-0.1115587,2
-0.27162182,-0.11738313,0
-0.2728892,-0.12349172,2
-0.26963308,-0.12986392,2
-0.26393157,-0.1361744,0
-0.265215,-0.14227523,2
-0.2612089,-0.14831415,2
-0.25791445,-0.15417738,2
-0.25380817,-0.16032943,0
-0.25512272,-0.16630535,2
-0.25104395,-0.17284636,2
-0.24601364,-0.17915954,3
-0.24736059,-0.1855389,2
-0.2398999,-0.19182554,0
-0.24128687,-0.19770043,2
-0.23828708,-0.20377444,2
-0.23149328,-0.20941897,0
-0.23294613,-0.21508119,0
-0.23425923,-0.22110093,2
-0.22889343,-0.22734521,2
-0.22233425,-0.23315689,0
-0.22378814,-0.23883149,2
-0.22079264,-0.2443684,2
-0.21899767,-0.25011274,2
-0.21402523,-0.25553057,0
-0.21546867,-0.26111662,2
-0.208279,-0.26692253,0
-0.20977153,-0.27241233,2
-0.20508128,-0.2779868,2
-0.19885014,-0.2835711,0
-0.2004554,-0.28881004,2
-0.19418894,-0.29441708,2
-0.18927172,-0.29942167,0
-0.19100977,-0.30437034,2
-0.18451238,-0.30896196,0
-0.18629447,-0.3137225,2
-0.18209325,-0.3189793,2
-0.17769788,-0.3234054,2
-0.17551608,-0.3277987,2
-0.16805577,-0.33241758,0
-0.17012063,-0.33650884,2
-0.16585758,-0.3407512,2
-0.15947095,-0.34452814,0
-0.1616881,-0.3482149,2
-0.1544949,-0.3522786,0
-0.1567881,-0.35583636,2
-0.15130842,-0.35950136,2
-0.14567634,-0.36227643,0
-0.14816558,-0.3652613,2
-0.147201,-0.36848506,2
-0.14355625,-0.37179074,2
-0.13993753,-0.37439787,0
-0.14246994,-0.37724668,2
-0.13921466,-0.3804143,2
-0.1352862,-0.38323388,2
-0.13031141,-0.38604483,0
-0.13304068,-0.38849157,2
-0.12912248,-0.3911145,0
-0.13182515,-0.39364478,2
-0.12938812,-0.3964154,2
-0.12645039,-0.39926308,2
-0.12488901,-0.4013171,2
-0.12218113,-0.4034115,2
-0.12135069,-0.40579283,2
-0.118635505,-0.40778568,2
-0.11213238,-0.40951407,0
-0.11523068,-0.4110517,0
-0.118189394,-0.41294664,2
